Nro;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;Del Giro;96756430-3;CHILEXPRESS S.A.;11985477;20/03/2024;20/03/2024 11:57:52;0;7959;1512;;;9471;;;;;0;0;;;;
2;Del Giro;78800020-0;SOCIEDAD ADMINISTRADORA DE RIESGO S.A;6671;20/03/2024;20/03/2024 14:47:04;0;207200;39368;;;246568;;;;;0;0;;;;
3;Del Giro;77314540-7;COMERCIAL ALESSANDRINI LTDA.;65241;20/03/2024;20/03/2024 17:58:01;0;152000;28880;;;180880;;;;;0;0;;;;
4;Del Giro;77794107-0;BERNABÉ MENDOZA SPA;101;07/03/2024;21/03/2024 07:55:40;0;396000;75240;;;471240;;;;;0;0;;;;
5;Del Giro;77794107-0;BERNABÉ MENDOZA SPA;102;07/03/2024;21/03/2024 07:58:10;0;262000;49780;;;311780;;;;;0;0;;;;
6;Del Giro;77794107-0;BERNABÉ MENDOZA SPA;103;07/03/2024;21/03/2024 08:00:24;0;171000;32490;;;203490;;;;;0;0;;;;
7;Del Giro;76190731-K;PRODUCTORA GRAFICA ACTIVA SPA;2857;21/03/2024;21/03/2024 11:48:09;0;54470;10349;;;64819;;;;;0;0;;;;
8;Del Giro;76190731-K;PRODUCTORA GRAFICA ACTIVA SPA;2858;21/03/2024;21/03/2024 11:49:43;0;69000;13110;;;82110;;;;;0;0;;;;
9;Del Giro;77335563-0;AC PRO TECNOLOGIA SPA;774;21/03/2024;21/03/2024 12:42:59;0;714294;135716;;;850010;;;;;0;0;;;;
10;Del Giro;77335563-0;AC PRO TECNOLOGIA SPA;775;21/03/2024;21/03/2024 12:45:29;0;42000;7980;;;49980;;;;;0;0;;;;
11;Del Giro;77335563-0;AC PRO TECNOLOGIA SPA;776;21/03/2024;21/03/2024 12:50:38;0;538970;102404;;;641374;;;;;0;0;;;;
12;Del Giro;76751057-8;MULTI SAFE SPA;10613;21/03/2024;21/03/2024 17:22:52;0;4225000;802750;;;5027750;;;;;0;0;;;;
13;Del Giro;76751057-8;MULTI SAFE SPA;10614;21/03/2024;21/03/2024 17:22:52;0;735000;139650;;;874650;;;;;0;0;;;;
