Nro;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;Del Giro;76360903-0;Rentokil Initial Chile SpA.;604020;15/05/2024;16/05/2024 08:37:33;0;491618;93407;;;585025;;;;;0;0;;;;
2;Del Giro;78290820-0;SISTEMAS DE INFORMACIÓN PARA LA GESTION ADMINISTRA;14567;16/05/2024;16/05/2024 10:13:09;0;336138;63866;;;400004;;;;;0;0;;;;
3;Del Giro;77038072-3;COMERCIALIZACIÓN Y SERVICIOS RAISE SPA;130;16/05/2024;16/05/2024 12:22:40;0;150000;28500;;;178500;;;;;0;0;;;;
4;Del Giro;76682049-2;AUTOMOTRIZ SARASIBAR SPA;3284;16/05/2024;16/05/2024 14:21:31;0;30000;5700;;;35700;;;;;0;0;;;;
5;Del Giro;93435000-6;CITROEN CHILE SPA;383574;16/05/2024;16/05/2024 14:33:14;0;353632;67190;;;420822;;;;;0;0;;;;
6;Del Giro;76768191-7;LG SERVICIO SPA;436;16/05/2024;16/05/2024 17:18:00;0;500373;95071;;;595444;;;;;0;0;;;;
7;Del Giro;77497022-3;MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,  SERVICIO DE LAVA;213;16/05/2024;16/05/2024 18:07:56;0;450000;85500;;;535500;;;;;0;0;;;;
8;Del Giro;77335563-0;AC PRO TECNOLOGIA SPA;835;16/05/2024;16/05/2024 22:39:43;0;1103900;209741;;;1313641;;;;;0;0;;;;
9;Del Giro;77335563-0;AC PRO TECNOLOGIA SPA;836;16/05/2024;16/05/2024 23:01:16;0;69960;13292;;;83252;;;;;0;0;;;;
10;Del Giro;77314540-7;COMERCIAL ALESSANDRINI LTDA.;66260;14/05/2024;17/05/2024 10:07:12;0;367000;69730;;;436730;;;;;0;0;;;;
11;Del Giro;89912300-K;INGENIERIA Y CONSTRUCCION RICARDO RODRIGUEZ Y CIA LTDA;1475642;17/05/2024;17/05/2024 10:34:35;0;584480;111051;;;695531;;;;;0;0;;;;
12;Del Giro;76868911-3;SAN CRISTOBAL SPA;801;17/05/2024;17/05/2024 10:55:50;0;3641079;691805;;;4332884;;;;;0;0;;;;
13;Del Giro;76868911-3;SAN CRISTOBAL SPA;802;17/05/2024;17/05/2024 10:59:06;0;2175394;413325;;;2588719;;;;;0;0;;;;
14;Del Giro;76868911-3;SAN CRISTOBAL SPA;803;17/05/2024;17/05/2024 11:04:11;0;3451683;655820;;;4107503;;;;;0;0;;;;
15;Del Giro;76868911-3;SAN CRISTOBAL SPA;804;17/05/2024;17/05/2024 11:08:30;0;1193062;226682;;;1419744;;;;;0;0;;;;
16;Del Giro;76868911-3;SAN CRISTOBAL SPA;805;17/05/2024;17/05/2024 11:11:13;0;2961926;562766;;;3524692;;;;;0;0;;;;
17;Del Giro;76868911-3;SAN CRISTOBAL SPA;806;17/05/2024;17/05/2024 11:28:49;0;1144577;217470;;;1362047;;;;;0;0;;;;
18;Del Giro;76868911-3;SAN CRISTOBAL SPA;807;17/05/2024;17/05/2024 11:31:55;0;2540226;482643;;;3022869;;;;;0;0;;;;
19;Del Giro;76868911-3;SAN CRISTOBAL SPA;809;17/05/2024;17/05/2024 11:34:48;0;2558810;486174;;;3044984;;;;;0;0;;;;
20;Del Giro;76868911-3;SAN CRISTOBAL SPA;810;17/05/2024;17/05/2024 11:36:51;0;973639;184991;;;1158630;;;;;0;0;;;;
21;Del Giro;76868911-3;SAN CRISTOBAL SPA;811;17/05/2024;17/05/2024 11:39:20;0;2093416;397749;;;2491165;;;;;0;0;;;;
22;Del Giro;76868911-3;SAN CRISTOBAL SPA;812;17/05/2024;17/05/2024 11:41:37;0;309536;58812;;;368348;;;;;0;0;;;;
23;Del Giro;76868911-3;SAN CRISTOBAL SPA;813;17/05/2024;17/05/2024 11:43:52;0;309421;58790;;;368211;;;;;0;0;;;;
24;Del Giro;76584218-2;LINQ SPA;88661;17/05/2024;17/05/2024 15:16:29;0;544677;103489;;;648166;;;;;0;0;;;;
25;Del Giro;15299306-4;GUNTHER JOSE WILLER OPITZ;6207;17/05/2024;17/05/2024 16:25:17;0;14277;2713;;;16990;;;;;0;0;;;;
26;Del Giro;13246226-7;CRISTIAN ROBERTO VEAS ROJAS;14391;17/05/2024;17/05/2024 18:20:41;0;500000;95000;;;595000;;;;;0;0;;;;
27;Del Giro;96579800-5;SURALIS  S.A.;1067959;18/05/2024;18/05/2024 11:05:19;0;39707;7544;;;47251;;;;;0;0;;;;
28;Del Giro;96579800-5;SURALIS  S.A.;1068013;18/05/2024;18/05/2024 11:07:07;0;228778;43468;;;272246;;;;;0;0;;;;
29;Del Giro;76462616-8;PUBLICIDAD VIA VERDE LTDA.;227;18/05/2024;18/05/2024 13:02:34;0;1100000;209000;;;1309000;;;;;0;0;;;;
30;Del Giro;77829754-K;V Y R COMERCIAL SPA;233;18/05/2024;18/05/2024 16:17:20;0;29000;5510;;;34510;;;;;0;0;;;;
31;Del Giro;77829754-K;V Y R COMERCIAL SPA;234;18/05/2024;18/05/2024 16:28:49;0;199700;37943;;;237643;;;;;0;0;;;;
32;Del Giro;76854213-9;AUTOMOTRIZ PAZ SARAYO HOFFENS E.I.R.L.;403;18/05/2024;18/05/2024 22:55:23;0;445000;84550;;;529550;;;;;0;0;;;;
33;Del Giro;96670840-9;DIMERC S.A;11170005;20/05/2024;20/05/2024 08:27:48;0;38678;7349;;;46027;;;;;0;0;;;;
34;Del Giro;77345600-3;LEIGHTON Y ORTEGA SPA;1967;20/05/2024;20/05/2024 11:15:03;0;270140;51327;;;321467;;;;;0;0;;;;
35;Del Giro;77345600-3;LEIGHTON Y ORTEGA SPA;1969;20/05/2024;20/05/2024 11:30:09;0;633790;120420;;;754210;;;;;0;0;;;;
36;Del Giro;77345600-3;LEIGHTON Y ORTEGA SPA;1970;20/05/2024;20/05/2024 11:35:27;0;103900;19741;;;123641;;;;;0;0;;;;
37;Del Giro;96670840-9;DIMERC S.A;11173135;20/05/2024;20/05/2024 15:27:27;0;33452;6356;;;39808;;;;;0;0;;;;
38;Del Giro;81923300-4;RENE TAPIA Y CIA;4668;20/05/2024;20/05/2024 15:59:54;0;80000;15200;;;95200;;;;;0;0;;;;
39;Del Giro;77335563-0;AC PRO TECNOLOGIA SPA;837;20/05/2024;20/05/2024 18:07:29;0;551950;104871;;;656821;;;;;0;0;;;;
40;Del Giro;90635000-9;Telefonica Chile S.A;51512947;19/05/2024;20/05/2024 20:49:25;0;27113;5152;;;32265;;;;;0;0;;;;
41;Del Giro;13477618-8;NIBALDO ALFREDO QUEZADA PINO;784;21/05/2024;21/05/2024 17:54:46;0;200000;38000;;;238000;;;;;0;0;;;;
42;Del Giro;13477618-8;NIBALDO ALFREDO QUEZADA PINO;785;21/05/2024;21/05/2024 17:59:00;0;130000;24700;;;154700;;;;;0;0;;;;
43;Del Giro;14671667-9;CHRISTIAN GERARDO JARAMILLO SORIANO;15303;22/05/2024;22/05/2024 08:52:01;0;45000;8550;;;53550;;;;;0;0;;;;
44;Del Giro;76682049-2;AUTOMOTRIZ SARASIBAR SPA;3288;22/05/2024;22/05/2024 09:49:34;0;283882;53938;;;337820;;;;;0;0;;;;
45;Del Giro;76360903-0;Rentokil Initial Chile SpA.;604284;22/05/2024;22/05/2024 10:38:43;0;42324;8042;;;50366;;;;;0;0;;;;
46;Del Giro;13246226-7;CRISTIAN ROBERTO VEAS ROJAS;14397;22/05/2024;22/05/2024 11:59:34;0;240000;45600;;;285600;;;;;0;0;;;;
